lat, lon, z
61.30216531,6.941200364,966.8
61.30221871,6.940832064,969
61.30220873,6.940693259,969.6
61.30218552,6.940624863,969.8
61.3021716,6.940451275,970.6
61.30217135,6.940426546,970.6
61.30217227,6.940409365,970.8
61.30216347,6.940364941,970.8
61.30214771,6.940320936,971
61.3021436,6.940312386,971
61.30206071,6.940155393,971
61.30204713,6.940055648,971.4
61.30197178,6.93984409,971.8
61.30196365,6.939807041,972
61.3019442,6.939739483,972
61.3019059,6.939530355,972.8
61.30187547,6.939404458,973.2
61.30179341,6.939068008,974
61.30177992,6.938977903,974.4
61.30178939,6.938902047,975
61.3017831,6.938869357,975.2
61.30163994,6.938579678,976.6
61.30158763,6.938452777,977.2
61.30154036,6.938325538,978
61.30144296,6.937999568,980
61.30143701,6.937946258,980.4
61.30141564,6.937896218,980.6
61.30141069,6.937809047,981.4
61.30142695,6.937513165,984
61.30140424,6.937406548,984.8
61.30140088,6.937392969,984.8
61.30140013,6.937373355,985
61.30138538,6.937173783,986.6
61.30135026,6.937049395,987.4
61.30134112,6.937009832,987.6
61.30132402,6.936937078,988.2
61.30132235,6.936894833,988.6
61.30132193,6.93677849,989.6
61.30131933,6.936756697,989.8
61.30123685,6.936414381,990.8
61.30122227,6.936340788,991
61.30120886,6.936238445,991.4
61.30120123,6.936169127,991.6
61.3012014,6.936150434,991.6
61.30120961,6.936063179,991.8
61.3012055,6.93599143,992
61.30118036,6.935798312,992.6
61.30116217,6.935692952,993
61.30112219,6.935609634,993.2
61.30112311,6.935590524,993.2
61.30112604,6.935549201,993.4
61.30112152,6.935528749,993.4
61.3011035,6.935420035,993.6
61.3010957,6.935265643,994.2
61.30109671,6.935241335,994.2
61.3010838,6.934953834,995.2
61.30105647,6.934831123,995.4
61.30096318,6.934619482,995.8
61.30088582,6.934360397,996.4
61.30083745,6.934101311,997.2
61.30083988,6.934052948,997.4
61.30085003,6.933983714,997.6
61.3008564,6.933966866,997.6
61.30086025,6.933952029,997.8
61.30086025,6.933935098,997.8
61.30085967,6.933921687,997.8
61.30085581,6.933907187,997.8
61.30084952,6.93389344,998
61.30085053,6.933873156,998
61.30084877,6.933855051,998
61.30084517,6.933832755,998
61.30084718,6.933806855,998.2
61.3008854,6.933684562,998.6
61.3009004,6.933650113,998.8
61.3009066,6.933558499,999.2
61.30089353,6.933508626,999.2
61.30088565,6.933461186,999.4
61.30087199,6.933407625,999.6
61.30085162,6.933389857,999.6
61.30079127,6.93334166,999.6
61.30075447,6.933313077,999.6
61.30071491,6.933229593,999.6
61.30071038,6.933197156,999.8
61.30070929,6.933158431,1000
61.30072279,6.933101517,1000.2
61.30073,6.933052735,1000.4
61.30071131,6.933019208,1000.4
61.30069136,6.932986771,1000.4
61.30068591,6.932974784,1000.4
61.30066973,6.932959192,1000.4
61.30062841,6.932879649,1000.6
61.30061332,6.932749058,1001
61.30061584,6.932686446,1001.2
61.30059723,6.932555102,1001.6
61.30057653,6.932461224,1001.8
61.30055322,6.932376315,1002
61.30053881,6.932351339,1002
61.30053118,6.932308841,1002.2
61.30053109,6.932245642,1002.4
61.30052715,6.932222592,1002.4
61.30049002,6.932058977,1002.8
61.30048005,6.931974739,1003.2
61.30048022,6.931944898,1003.2
61.30047871,6.931850435,1003.6
61.30046739,6.931761,1003.8
61.30045926,6.931722527,1003.8
61.30045096,6.931695036,1004
61.30043236,6.93163477,1004
61.30041853,6.931581375,1004.2
61.30040922,6.931544243,1004.4
61.30040336,6.931450871,1004.6
61.30040444,6.931385659,1004.8
61.30038114,6.931286836,1005
61.30037729,6.931263534,1005.2
61.30037544,6.931245681,1005.2
61.30036899,6.931211399,1005.2
61.30036614,6.931186169,1005.4
61.30036044,6.931108134,1005.6
61.3003539,6.931093632,1005.6
61.30033714,6.931040241,1005.8
61.30034703,6.930992128,1006
61.3003591,6.930955835,1006
61.30035558,6.930916859,1006.2
61.30033856,6.930898419,1006.2
61.30030956,6.930884336,1006.2
61.30028358,6.930852989,1006.2
61.30025474,6.9307628,1006.4
61.30017084,6.93060983,1006.6
61.30012214,6.93049835,1008
61.30010856,6.93046608,1008.4
61.30009591,6.930425344,1008.8
61.30008291,6.930382429,1009.4
61.3000633,6.930305399,1010.2
61.30002474,6.930163493,1012
61.29997764,6.929921004,1015
61.299968,6.929892005,1015.2
61.29992408,6.929777172,1016.6
61.29991771,6.929647839,1018.2
61.29991712,6.929584219,1019
61.29991259,6.929502916,1020
61.29987186,6.929389592,1021.4
61.29975283,6.9290891,1024.8
61.29973968,6.929067728,1025.2
61.29972584,6.929043671,1025.4
61.2996826,6.928957758,1026.4
61.29959911,6.928686519,1029.6
61.29958813,6.928614098,1030.4
61.29958134,6.928590378,1030.8
61.29942292,6.928354595,1033.2
61.29925537,6.928186789,1035
61.29922,6.928144293,1035.4
61.29918488,6.928101714,1035.8
61.2991205,6.927856038,1038.8
61.29893124,6.927969278,1036.8
61.29886326,6.92816969,1034.2
61.29876469,6.928270357,1032.6
61.29858457,6.928204809,1032.8
61.29849178,6.928373537,1030.4
61.29840888,6.928437323,1029.4
61.29838323,6.928539668,1028
61.29834501,6.928653409,1026.6
61.29827737,6.928862034,1023.6
61.29824786,6.928946356,1022.6
61.29823596,6.929034032,1021.4
61.29823722,6.929120198,1020.2
61.29821878,6.929256739,1018.6
61.29814653,6.929340809,1017.2
61.29812968,6.929341983,1017.2
61.29805944,6.929359082,1016.8
61.29805223,6.929380456,1016.4
61.2980182,6.92942052,1015.8
61.29800756,6.929428232,1015.8
61.297998,6.929427898,1015.8
61.29798425,6.929429407,1015.6
61.29798451,6.92943737,1015.6
61.29797176,6.929499059,1014.8
61.2979555,6.929500652,1014.6
61.29789859,6.929504341,1014.4
61.29787705,6.929506018,1014.4
61.29785643,6.929507189,1014.4
61.2978074,6.929500989,1014.2
61.29778837,6.929521022,1014
61.29778183,6.929550357,1013.6
61.29777236,6.929577347,1013.2
61.2977411,6.929650857,1012.2
61.29773011,6.929676336,1011.8
61.29770413,6.92971196,1011.2
61.29763003,6.929707434,1011.2
61.2975701,6.929717994,1010.8
61.29755451,6.929740376,1010.6
61.29754119,6.929770214,1010.2
61.29752551,6.92980458,1009.6
61.29748226,6.929945983,1007.8
61.29742376,6.93023717,1003.8
61.29733549,6.930405563,1001.4
61.29732016,6.930427942,1001.2
61.29730239,6.930448897,1000.8
61.29728202,6.930459207,1000.6
61.29715377,6.930529029,999.4
61.29702034,6.930775121,997.4
61.29700374,6.93092172,997
61.29693442,6.931000678,996.4
61.29674566,6.931061112,995.8
61.29655807,6.931114673,995
61.29638775,6.931110312,994.6
61.29620377,6.93101082,994.4
61.29600998,6.931062535,993.8
61.29582105,6.931076534,993.2
61.29570186,6.931057172,992.8
61.29554395,6.930879895,993
61.29552626,6.930863801,993
61.29549558,6.930842846,993
61.29546222,6.93083438,993
61.29534664,6.930718626,993
61.29520808,6.930713514,992
61.29512988,6.930534142,992.2
61.29506207,6.930394164,992.4
61.2949542,6.930337922,990.8
61.29492084,6.930316883,990.4
61.2947739,6.930403803,986.4
61.29473853,6.930407992,985.8
61.29469788,6.930396008,985
61.29456729,6.930634725,979.8
61.29448565,6.930940999,975.6
61.29448649,6.931035713,974.8
61.29455698,6.931430418,972.8
61.29462906,6.931781453,971.2
61.29463325,6.931974487,969.6
61.29451993,6.932333986,964.2
61.29450451,6.93237422,963.6
61.29435598,6.932623163,958.4
61.29426328,6.932891719,954.4
61.29423176,6.933096489,952
61.29421106,6.933316095,949.6
61.2942217,6.933394467,949.2
61.29416814,6.933640642,946
61.29410125,6.93380057,943.2
61.29409941,6.933874917,942.6
61.29396848,6.934069544,938.2
61.29394443,6.934206757,936.6
61.293943,6.934219161,936.4
61.29391534,6.934594839,932.6
61.29389632,6.934695755,931.4
61.29389204,6.934718303,931.2
61.29389782,6.934705227,931.4
61.29388752,6.934735151,931
61.29388282,6.934740013,930.8
61.29388265,6.934754261,930.6
61.2938798,6.934922487,929.2
61.29385533,6.93502592,927.8
61.29381602,6.935063722,926.6
61.29381694,6.935150726,926
61.29379825,6.935273856,924.4
61.29376874,6.935344935,923.2
61.29376732,6.935387597,922.8
61.29377126,6.935430095,922.6
61.293799,6.935554901,922
61.29386513,6.935763442,921.6
61.29387637,6.93580443,921.4
61.29388726,6.93584391,921.4
61.29390243,6.935877688,921.4
61.2939648,6.935949437,922
61.29401995,6.936166362,921.2
61.29400067,6.936457799,918.2
61.2940378,6.936675478,917.2
61.2941238,6.937034223,915.8
61.29419052,6.937373859,914.2
61.29421114,6.937523811,913.2
61.29425833,6.937905188,911
61.29430284,6.938103083,910.2
61.29435757,6.938335346,909.6
61.29446872,6.93845571,910.8
61.29446553,6.938525783,910.2
61.29443645,6.938611949,909.2
61.29441113,6.938696858,908.2
61.29439512,6.938738516,907.6
61.2943797,6.938776737,907
61.29436889,6.938811019,906.6
61.29436277,6.938844379,906.2
61.29433335,6.939229695,903.2
61.29430518,6.939535466,900.6
61.29426872,6.939899745,897.6
61.29424517,6.940136113,895.8
61.29426252,6.940266619,895.2
61.29425867,6.940472983,893.8
61.2942393,6.940829885,891.2
61.29422606,6.941200364,888.4
61.29420946,6.941571179,885.8
61.2941756,6.94174041,884
61.29409589,6.942100916,880.2
61.29402012,6.94238238,877
61.29400193,6.942756968,874.4
61.29402783,6.943135914,872.4
61.29392439,6.943461467,868.4
61.29387922,6.943840581,865
61.29388978,6.944255902,862.6
61.29399455,6.94459998,862.2
61.29406203,6.94478103,862.2
61.2941129,6.944843308,862.8
61.294087,6.945037852,861
61.29411156,6.945085461,861.2
61.2941528,6.945186965,861.4
61.29424634,6.945387459,861.8
61.29427258,6.945451162,861.8
61.29423796,6.945641683,860
61.29419102,6.945788114,858.2
61.29415833,6.94593572,856.6
61.29415942,6.94601275,856
61.29418616,6.946394882,854
61.29420402,6.946458751,854
61.29419027,6.946663772,852.4
61.29414668,6.946781874,850.8
61.29414626,6.946850942,850.4
61.29418817,6.946977425,850.4
61.29421634,6.947098626,850
61.29421047,6.947482852,846.2
61.29420611,6.947572874,845
61.29422036,6.947743781,843.2
61.29410771,6.948025412,837.8
61.29395231,6.948153572,833.4
61.29377117,6.948307045,828.2
61.2936752,6.94837452,825.6
61.29357269,6.948494213,822.2
61.29350446,6.948470744,821.2
61.29332685,6.948596305,816.6
61.29316902,6.948797888,811.2
61.29308931,6.949000479,807.2
61.29295737,6.949268867,801.6
61.29289811,6.949627278,796
61.29285998,6.949994824,790.8
61.29276534,6.950329178,785
61.2927117,6.950468487,782.2
61.29271279,6.950491286,782
61.29271355,6.950545935,781.4
61.29269972,6.950589436,780.6
61.29262084,6.950601927,779
61.29260751,6.950670407,777.8
61.29250349,6.950781717,774.6
61.29249947,6.95083553,773.8
61.29250609,6.951062679,771.2
61.29254591,6.951183545,770.4
61.29256225,6.951213554,770.4
61.29259528,6.951280775,770
61.29259058,6.951359735,769
61.29244155,6.951518822,764.4
61.29242244,6.951509939,764.2
61.29240467,6.951517901,763.8
61.29225304,6.951750247,758
61.29214953,6.951900952,754.4
61.29210779,6.952005392,752.4
61.29201399,6.952255256,747.6
61.29187728,6.952519371,743
61.29174183,6.952790273,739.4
61.29165952,6.952978028,737.2
61.29161543,6.95310317,735.6
61.29160881,6.953130327,735.4
61.29160051,6.953162598,735
61.29155776,6.953255552,734
61.29151208,6.953343228,732.8
61.29144117,6.953413718,731.4
61.29135308,6.953671547,728.4
61.29127228,6.953712701,727
61.29123632,6.953705829,726.6
61.29118066,6.95380574,725.2
61.29115359,6.953916382,724.2
61.29113657,6.95404035,723
61.29112769,6.954450478,720.2
61.29104303,6.954695312,717.4
61.2909396,6.954927407,714.4
61.29077305,6.955056237,711.4
61.29068554,6.955395536,708
61.29065176,6.95551808,706.6
61.29056979,6.955556469,705.4
61.29041992,6.955731064,702.4
61.29037449,6.956107495,699.8
61.29034122,6.956396001,697.8
61.29023636,6.956668077,695
61.29017592,6.957033359,692.2
61.29016117,6.957137213,691.6
61.29002941,6.957398812,688.4
61.28996403,6.957601821,686.4
61.28990745,6.957978838,683.8
61.289872,6.958169024,682.2
61.28983,6.958419895,680.4
61.28976194,6.958623994,678.2
61.28958953,6.958772355,674.8
61.28941166,6.958924066,671.2
61.28928082,6.958915432,669.4
61.28914747,6.959157417,665.8
61.28898117,6.95926764,662.6
61.28882057,6.959332097,659.8
61.28877841,6.959431759,658.6
61.28869853,6.959703919,655.6
61.28866349,6.959754546,654.6
61.28854196,6.959860995,652.2
61.28836677,6.959921345,649.2
61.28821959,6.960032154,646.4
61.28814784,6.960004997,645.6
61.28806871,6.959658741,646.8
61.28802002,6.959482218,647.4
61.28801457,6.959450953,647.4
61.28800744,6.959433014,647.6
61.28799462,6.959412983,647.4
61.28796796,6.959365959,647.4
61.2879103,6.959217935,647.6
61.28779639,6.958938735,648
61.28779496,6.958789788,649
61.28769723,6.9584898,649.6
61.28759396,6.958236331,650
61.28752272,6.958071878,650
61.28745424,6.95771305,651.6
61.28740604,6.957597127,651.8
61.28734829,6.957621519,650.8
61.28729247,6.957687399,649.4
61.28716171,6.957541807,648.6
61.28714033,6.957533844,648.4
61.28713556,6.957531162,648.4
61.28703665,6.957627301,646.2
61.28701435,6.957737189,645.2
61.28690556,6.957744984,643.6
61.28683641,6.95775127,643.8
61.286651,6.95784607,645.6
61.28656433,6.957870292,646.6
61.28639518,6.957981186,648.2
61.2862143,6.958045056,650.2
61.2861511,6.958112447,650.6
61.28613627,6.95813491,650.8
61.2859812,6.958368681,651.2
61.2859698,6.958391564,651.2
61.28594164,6.958437244,651.4
